"","period","county","region","year","id","quarter","naloxone_count","agent_type","death_counts_all_opioids","death_rate_all_opioids","death_counts_heroin","death_rate_heroin","death_counts_pain_relievers","death_rate_pain_relievers","2017_pct_bb_covrg","county.f","agent_type_f","date","nalonxe_per_death","enrolled","population","region_pop","pp_medicaid_enroll","equifax","unemployment","pp_constr_employ","avg_earnings","post","treat","time_to_treat","post_alt","treat_alt","time_to_treat_alt","cumulative_trend_alt","bb_treatment"
"44",1,"Yates","Finger Lakes",2015,2337,1,0,"COOP",1,4,0,0,0,0,0.57416266,"Yates","COOP",2015-01-01,0,855932,25128,5032686,5.66915294669023,23.0927835051546,6.46666666666667,0.0458518632111639,2601,0,0,0,0,0,0,0.20390212697905,0.117072987605949
"45",1,"Westchester","Mid-Hudson",2015,2335,1,1,"COOP",20,2,7,0.7,14,1.4,0.89744085,"Westchester","COOP",2015-01-01,0.05,1532375,968773,6945627,7.3541476769004,20.1119937491861,5.1,0.0604982561036373,6303,0,0,0,0,0,0,0.20390212697905,0.182990098152887
"46",1,"Washington","Capital District",2015,53,1,6,"EMS",0,0,0,0,0,0,0.53631288,"Washington","EMS",2015-01-01,0,676474,62246,3250188,6.93779354712199,29.1734860883797,6.63333333333333,0.04998961434605,3473,0,0,0,0,1,-9,0.20390212697905,0.10935533695826
"47",1,"Ulster","Mid-Hudson",2015,1191,1,3,"LEO",3,1.7,3,1.7,1,0.6,0.88568664,"Ulster","LEO",2015-01-01,1,1532375,179658,6945627,7.3541476769004,24.4953258366075,5.66666666666667,0.0394238804502777,3549,0,1,-9,0,1,-9,0.20390212697905,0.180593389732928
"48",1,"Ulster","Mid-Hudson",2015,51,1,36,"EMS",3,1.7,3,1.7,1,0.6,0.88568664,"Ulster","EMS",2015-01-01,12,1532375,179658,6945627,7.3541476769004,24.4953258366075,5.66666666666667,0.0394238804502777,3549,0,0,0,0,1,-9,0.20390212697905,0.180593389732928
"49",1,"Ulster","Mid-Hudson",2015,2331,1,0,"COOP",3,1.7,3,1.7,1,0.6,0.88568664,"Ulster","COOP",2015-01-01,0,1532375,179658,6945627,7.3541476769004,24.4953258366075,5.66666666666667,0.0394238804502777,3549,0,0,0,0,0,0,0.20390212697905,0.180593389732928
"50",1,"Suffolk","Long Island",2015,2327,1,1,"COOP",43,2.9,27,1.8,20,1.3,0.88893056,"Suffolk","COOP",2015-01-01,0.0232558139534884,1614187,1491967,8540421,6.3001851235827,23.8318726753189,5.5,0.0629336490093379,4712,0,0,0,0,0,0,0.20390212697905,0.181254831920678
"51",1,"St. Lawrence","North Country",2015,1180,1,0,"LEO",4,3.6,0,0,4,3.6,0.83887148,"St. Lawrence","LEO",2015-01-01,0,302156,110348,1268307,7.94118984336337,28.4774436090226,8.83333333333333,0.0334901044790253,3211,0,1,-9,0,1,-9,0.20390212697905,0.171047679034064
"52",1,"St. Lawrence","North Country",2015,40,1,5,"EMS",4,3.6,0,0,4,3.6,0.83887148,"St. Lawrence","EMS",2015-01-01,1.25,302156,110348,1268307,7.94118984336337,28.4774436090226,8.83333333333333,0.0334901044790253,3211,0,0,0,0,1,-9,0.20390212697905,0.171047679034064
"53",1,"St. Lawrence","North Country",2015,2320,1,0,"COOP",4,3.6,0,0,4,3.6,0.83887148,"St. Lawrence","COOP",2015-01-01,0,302156,110348,1268307,7.94118984336337,28.4774436090226,8.83333333333333,0.0334901044790253,3211,0,0,0,0,0,0,0.20390212697905,0.171047679034064
"54",1,"Schenectady","Capital District",2015,2322,1,4,"COOP",1,0.6,0,0,1,0.6,0.89370352,"Schenectady","COOP",2015-01-01,4,676474,154733,3250188,6.93779354712199,29.8135696821516,5.33333333333333,0.0320403118463586,4888,0,0,0,0,0,0,0.20390212697905,0.182228048616664
"55",1,"Rockland","Mid-Hudson",2015,1179,1,6,"LEO",2,0.6,2,0.6,2,0.6,0.78576583,"Rockland","LEO",2015-01-01,3,1532375,322919,6945627,7.3541476769004,20.8724553385958,5.06666666666667,0.0546507930900484,4545,0,1,-9,0,1,-9,0.20390212697905,0.160219324044459
"56",1,"Rockland","Mid-Hudson",2015,39,1,2,"EMS",2,0.6,2,0.6,2,0.6,0.78576583,"Rockland","EMS",2015-01-01,1,1532375,322919,6945627,7.3541476769004,20.8724553385958,5.06666666666667,0.0546507930900484,4545,0,0,0,0,1,-9,0.20390212697905,0.160219324044459
"57",1,"Rockland","Mid-Hudson",2015,2319,1,5,"COOP",2,0.6,2,0.6,2,0.6,0.78576583,"Rockland","COOP",2015-01-01,2.5,1532375,322919,6945627,7.3541476769004,20.8724553385958,5.06666666666667,0.0546507930900484,4545,0,0,0,0,0,0,0.20390212697905,0.160219324044459
"58",1,"Putnam","Mid-Hudson",2015,37,1,0,"EMS",3,3,1,1,3,3,0.95548493,"Putnam","EMS",2015-01-01,0,1532375,99185,6945627,7.3541476769004,20.4450966006359,4.8,0.0856790712468193,4087,0,0,0,0,1,-9,0.20390212697905,0.194825409523429
"59",1,"Oswego","Central",2015,1175,1,0,"LEO",5,4.2,3,2.5,2,1.7,0.88989371,"Oswego","LEO",2015-01-01,0,574472,119735,953877,20.0749852094837,31.62,8.73333333333333,0.0400475937000971,3875,0,1,-9,0,1,-9,0.20390212697905,0.181451220254278
"60",1,"Orange","Mid-Hudson",2015,2313,1,2,"COOP",14,3.7,9,2.4,8,2.1,0.80276388,"Orange","COOP",2015-01-01,0.142857142857143,1532375,375803,6945627,7.3541476769004,28.1888111888112,5.3,0.0349742005950812,3660,0,0,0,0,0,0,0.20390212697905,0.163685262593955
"61",1,"Orange","Mid-Hudson",2015,33,1,56,"EMS",14,3.7,9,2.4,8,2.1,0.80276388,"Orange","EMS",2015-01-01,4,1532375,375803,6945627,7.3541476769004,28.1888111888112,5.3,0.0349742005950812,3660,0,0,0,0,1,-9,0.20390212697905,0.163685262593955
"62",1,"Allegany","Western",2015,2282,1,0,"COOP",1,2.1,0,0,1,2.1,0.55641025,"Allegany","COOP",2015-01-01,0,1052181,47334,4166373,8.41804130355107,26.4819944598338,7.83333333333333,0.0129136924075276,2651,0,0,0,0,0,0,0.20390212697905,0.113453233447945
"63",1,"Allegany","Western",2015,1142,1,0,"LEO",1,2.1,0,0,1,2.1,0.55641025,"Allegany","LEO",2015-01-01,0,1052181,47334,4166373,8.41804130355107,26.4819944598338,7.83333333333333,0.0129136924075276,2651,0,1,-9,0,1,-9,0.20390212697905,0.113453233447945
"64",1,"Montgomery","Mohawk Valley",2015,2307,1,0,"COOP",1,2,1,2,1,2,0.54975122,"Montgomery","COOP",2015-01-01,0,406355,49564,1300155,10.4181168142773,34.188455846078,8.13333333333333,0.026674398376341,3031,0,0,0,0,0,0,0.20390212697905,0.112095443067328
"65",1,"Montgomery","Mohawk Valley",2015,27,1,6,"EMS",1,2,1,2,1,2,0.54975122,"Montgomery","EMS",2015-01-01,6,406355,49564,1300155,10.4181168142773,34.188455846078,8.13333333333333,0.026674398376341,3031,0,0,0,0,1,-9,0.20390212697905,0.112095443067328
"66",1,"Montgomery","Mohawk Valley",2015,1167,1,0,"LEO",1,2,1,2,1,2,0.54975122,"Montgomery","LEO",2015-01-01,0,406355,49564,1300155,10.4181168142773,34.188455846078,8.13333333333333,0.026674398376341,3031,0,1,-9,0,1,-9,0.20390212697905,0.112095443067328
"67",1,"Lewis","North Country",2015,1163,1,0,"LEO",0,0,0,0,0,0,0.41509435,"Lewis","LEO",2015-01-01,0,302156,26827,1268307,7.94118984336337,26.0162601626016,9.53333333333333,0.0310187372067391,3020,0,1,-9,0,1,-9,0.20390212697905,0.0846386208619863
"68",1,"Herkimer","Mohawk Valley",2015,21,1,5,"EMS",4,6.3,2,3.2,2,3.2,0.60408163,"Herkimer","EMS",2015-01-01,1.25,406355,62652,1300155,10.4181168142773,27.8538812785388,8.3,0.0374695239317336,2883,0,0,0,0,1,-9,0.20390212697905,0.123173529225972
"69",1,"Herkimer","Mohawk Valley",2015,2301,1,0,"COOP",4,6.3,2,3.2,2,3.2,0.60408163,"Herkimer","COOP",2015-01-01,0,406355,62652,1300155,10.4181168142773,27.8538812785388,8.3,0.0374695239317336,2883,0,0,0,0,0,0,0.20390212697905,0.123173529225972
"70",1,"Herkimer","Mohawk Valley",2015,1161,1,0,"LEO",4,6.3,2,3.2,2,3.2,0.60408163,"Herkimer","LEO",2015-01-01,0,406355,62652,1300155,10.4181168142773,27.8538812785388,8.3,0.0374695239317336,2883,0,1,-9,0,1,-9,0.20390212697905,0.123173529225972
"71",1,"Greene","Capital District",2015,2299,1,0,"COOP",3,6.3,2,4.2,2,4.2,0.52835822,"Greene","COOP",2015-01-01,0,676474,47616,3250188,6.93779354712199,25.8404415454089,6.83333333333333,0.0355776045357902,3477,0,0,0,0,0,0,0.20390212697905,0.107733364864865
"72",1,"Fulton","Mohawk Valley",2015,1157,1,0,"LEO",0,0,0,0,0,0,0.57627118,"Fulton","LEO",2015-01-01,0,406355,53801,1300155,10.4181168142773,35.7142857142857,7.83333333333333,0.0256499738265573,2919,0,1,-9,0,1,-9,0.20390212697905,0.117502919318727
"73",1,"Essex","North Country",2015,2295,1,0,"COOP",2,5.2,0,0,2,5.2,0.49861497,"Essex","COOP",2015-01-01,0,302156,37965,1268307,7.94118984336337,24.3243243243243,7.8,0.0338772980789093,3075,0,0,0,0,0,0,0.20390212697905,0.101668652926595
"74",1,"Essex","North Country",2015,15,1,0,"EMS",2,5.2,0,0,2,5.2,0.49861497,"Essex","EMS",2015-01-01,0,302156,37965,1268307,7.94118984336337,24.3243243243243,7.8,0.0338772980789093,3075,0,0,0,0,1,-9,0.20390212697905,0.101668652926595
"75",1,"Essex","North Country",2015,1155,1,1,"LEO",2,5.2,0,0,2,5.2,0.49861497,"Essex","LEO",2015-01-01,0.5,302156,37965,1268307,7.94118984336337,24.3243243243243,7.8,0.0338772980789093,3075,0,1,-9,0,1,-9,0.20390212697905,0.101668652926595
"76",1,"Cortland","Central",2015,1151,1,4,"LEO",1,2.1,0,0,1,2.1,0.51662403,"Cortland","LEO",2015-01-01,4,574472,48290,953877,20.0749852094837,27.7716186252772,7.36666666666667,0.0224797467675304,3200,0,1,-9,0,1,-9,0.20390212697905,0.105340738565489
